"SUBID","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","Dependent_Feature"
314,0.854,0.296,101.3513514,53.76344086,0.627192345,99.6,58.2,1.41764,0.82838,-0.208308,0.0561846,0.266548,0.319189,0.338121,29.4816,32.4756,41.4,0.035902623,0.18,0.296,0.627192345,91,149,0.627192345,0.18,0,0.23897771,0.23897771,428,70.09345794,0.182,0.230765526,0.136808309,0.474491729,0.370108765,-2.205611554,10.9819966,6.98236575,7.504249218,0.816763743,1.155132059,1.633628778,95.45535802,190.9086335,381.8033714,27.73331223,20.51084614,0.0239537,1.1911124,2.064807901,1.605193373,-26.50509723,-58.24104817,-60.26540133,-66.21677769,0.836059898,0.39225156,0.08844933,0.995185759,0.981249717,0.977267468,0.928567701,0.027296237,0.008079686,0.023310986,0.396,0.458,0.911889018,0.463700234,0.536299766,0.864628821,53.9568241,0.890833454,1.400248265,1.584447675,1.342357951,22.67198131,43.78714853,54.17687791,33.39741916,6.751150087,4.544590832,1.751283722,-24.82474128,-37.31223351,NA,NA,NA,NA,NA,NA,74.7
318,0.972,0.3,100,44.64285714,0.727105797,99,46.2,1.6038,0.74844,-0.272818,0.173786,0.271128,0.408548,0.409422,29.7,31.0464,52.8,0.0277685,0.222,0.3,0.727105797,112,151,0.727105797,0.222,0,0.159222774,0.159222774,487,61.60164271,0.224,0.227460468,0.1714756,0.802343924,0.233852202,-2.149614829,12.74184405,7.060161572,8.443252204,0.775249076,1.096774125,1.55229471,91.52560278,183.0377082,366.0121725,23.92307634,22.50871685,0.022149111,1.04434062,2.029508634,1.219745201,-24.73834123,-57.2561961,-59.30798781,-65.4452089,0.846069738,0.410275982,0.096183924,0.99579484,0.983258944,0.979750713,0.931675395,0.022574088,0.006772227,0.021942014,0.4,0.572,0.803141659,0.411522634,0.588477366,0.699300699,59.16442253,0.920905164,1.294295604,1.402878785,1.23725483,12.30237703,24.11119864,30.19205687,18.0303404,3.653144032,2.343988704,1.859229172,-26.75585934,-33.27579015,NA,NA,NA,NA,NA,NA,58
321,0.996,0.324,92.59259259,44.64285714,0.641013187,91.2,48,1.51392,0.7968,-0.232417,0.085444,0.268716,0.345532,0.346044,29.5488,32.256,43.2,0.031133095,0.218,0.324,0.641013187,110,163,0.641013187,0.218,0,0.159902225,0.159902225,499,60.12024048,0.22,0.251551629,0.184591195,0.874130682,0.368276966,-1.948752361,10.80138758,7.283827174,7.525005282,0.803325998,1.136222749,1.606820879,102.5929397,205.1801253,410.3341961,28.81678732,22.85780012,0.021612648,1.057117589,2.01739356,1.410206402,-24.91743715,-57.81965028,-60.08334766,-65.97847792,0.821476262,0.409765147,0.077225556,0.995974698,0.984042012,0.980678017,0.935652999,0.024696955,0.008001813,0.024598167,0.424,0.572,0.538879819,0.425702811,0.574297189,0.741258741,50.34469386,0.710754234,1.008313981,1.352554165,0.73814883,11.78772634,23.33616481,36.5394389,10.13289072,4.444566843,1.568362642,1.606867477,-27.98241972,-41.98084793,NA,NA,NA,NA,NA,NA,61.3
322,0.854,0.264,113.6363636,50.84745763,0.335762298,112.2,84.6,1.59698,1.20414,-0.0660953,-0.168692,-0.0189378,0.0748336,0.188965,29.6208,49.914,27.6,0.033515005,0.116,0.35,0.391798887,59,176,0.391798887,0.116,0.086,-0.029514281,0.029514281,428,70.09345794,0.118,0.179894881,0.185090206,0.205999737,0.639634413,-1.520886632,6.351699063,5.627416124,5.271133027,1.040447945,1.471441911,2.08204372,102.6646618,205.3261097,410.6407484,34.72073568,16.97963677,0.026618939,1.574670008,2.36811091,2.222498639,-22.52573625,-60.3614733,-62.32598218,-68.31956174,0.709956761,0.344144593,0.066026822,0.99419399,0.97716706,0.972449467,0.907426645,0.026530792,0.007004129,0.022657296,0.364,0.49,0.296824351,0.426229508,0.573770492,0.742857143,91.63560811,0.257805291,0.321326603,0.28382196,0.34797701,2.232433597,2.969797271,2.660309528,3.279285013,0.385709762,0.410496618,1.551048003,-20.55511178,-26.11232644,42,172,97,32.79,119,79,25.4
329,1.012,0.286,104.8951049,41.32231405,0.306382065,97.8,78,1.64956,1.3156,0.0466047,-0.181474,-0.0284798,0.111047,0.172379,27.9708,56.628,19.8,0.0440234,0.08,0.362,0.459009684,41,182,0.459009684,0.08,0.076,-0.344615399,0.344615399,507,59.17159763,0.082,0.175001057,0.208303585,0.415147915,0.881316207,-2.829259738,6.978042146,6.55514635,5.700550782,1.063128714,1.504010106,2.133754183,89.33260642,178.6643341,357.3153156,28.13127223,16.75116603,0.030859642,1.866237423,2.24141576,1.177312003,-20.54093206,-58.25845666,-60.60059309,-66.56783866,0.608313373,0.407296558,0.044526113,0.992497196,0.971269538,0.965339783,0.894823405,0.034868334,0.009972343,0.035286754,0.386,0.626,0.707620564,0.381422925,0.618577075,0.616613419,88.05552138,0.728019987,1.029518476,1.359394339,0.750211356,13.45673251,24.10487984,36.11594396,12.09381572,4.868771374,1.80680424,2.212103619,-24.462359,-27.44758232,23,185,93,27.17,106,68,60.2
335,0.75,0.254,118.1102362,60.48387097,0.630556436,115.8,88.2,1.4475,1.1025,-0.170411,-0.253741,0.0541313,0.307219,0.334531,29.4132,43.7472,27.6,0.042759905,0.094,0.254,0.630556436,48,128,0.630556436,0.094,0,-0.059647911,0.059647911,376,79.78723404,0.096,0.203614092,0.194842617,-0.289435145,0.427984152,-2.332209148,10.89426062,6.847122916,6.885831678,0.754453031,1.067001229,1.508127764,83.6018153,167.1988929,334.3697448,21.78119414,20.03243826,0.030042691,1.649279869,2.207488688,1.868502049,-23.12993072,-56.96826616,-58.9684321,-64.96419201,0.74006527,0.367280637,0.089119926,0.992803099,0.972083951,0.966356766,0.896081706,0.03402844,0.008643224,0.02552133,0.354,0.396,0.963128862,0.472,0.528,0.893939394,37.99194541,1.251202118,1.758102489,2.421165777,0.799732331,35.97395114,71.54916459,123.2271584,19.87117074,14.65683763,3.713307776,1.23065876,-43.29160798,-47.46700432,NA,NA,NA,NA,NA,NA,51.3
350,0.636,0.232,129.3103448,74.25742574,0.401898559,127.2,144,1.34832,1.5264,0.00130766,0.0328064,-0.203879,0.065796,0.220621,29.5104,58.176,-16.8,0.051435859,0.064,0.25,0.413905117,33,126,0.413905117,0.064,0.018,-0.371618508,0.371618508,319,94.04388715,0.066,0.144474044,0.159057632,-1.285725091,0.926034305,-2.362548813,11.4968218,6.891383176,7.242814496,1.050156262,1.484565971,2.089018951,72.8735188,145.7202061,291.3553602,22.72570698,14.88168589,0.037527152,2.18768088,2.566319389,2.099731091,-18.98083886,-58.22080294,-60.40336006,-66.18869837,0.591337432,0.306509827,0.092634635,0.989442743,0.959652763,0.951824121,0.854973805,0.038583473,0.008951366,0.024539089,0.332,0.304,0.733355123,0.522012579,0.477987421,1.092105263,93.22428495,0.698561631,0.76735712,0.70080937,0.616845861,12.78884758,11.54000759,11.357,11.72301518,1.550009243,1.497907125,1.222081335,-24.44600484,-28.0153877,53,173,115,38.42,137,98,47.6
370,1.106,0.34,88.23529412,39.16449086,0.547384623,82.2,57,1.51522,1.0507,-0.0653699,-0.136463,0.205072,0.247665,0.272257,27.948,43.662,25.2,0.042118631,0.178,0.374,0.594996037,90,188,0.594996037,0.178,0.034,0.042733287,0.042733287,554,54.15162455,0.18,0.281699971,0.231626183,1.043455309,0.443824871,-2.415613336,8.400004108,4.35008182,4.555009853,0.857807884,1.213020301,1.714451208,140.3256539,280.6187032,561.0847747,41.38327456,28.83784667,0.02357062,1.289447423,1.890776749,1.447162654,-24.34059296,-58.7907284,-60.97935911,-67.00445273,0.755073872,0.442549335,0.059356598,0.995321033,0.981843709,0.9779422,0.932048318,0.034453316,0.011714127,0.038105368,0.44,0.666,0.970962264,0.397830018,0.602169982,0.660660661,47.81834183,1.040688168,1.45916094,1.753207522,1.378367614,22.01398558,43.43928463,51.6256751,35.25289415,6.434458309,4.742036964,1.313017786,-31.66022518,-40.92519522,NA,NA,NA,NA,NA,NA,65.3
379,0.796,0.286,104.8951049,58.82352941,0.559612621,102,69,1.3532,0.9154,-0.170084,-0.0601764,0.233215,0.282299,0.331651,29.172,35.19,33,0.04161096,0.168,0.322,0.630645839,85,162,0.630645839,0.168,0.036,0.221170089,0.221170089,399,75.18796992,0.17,0.22025257,0.147790413,0.212147532,0.347150431,-2.588872766,8.135410824,7.240202888,6.849216128,0.811276708,1.147338356,1.624095764,88.265991,176.5289413,353.0446635,25.43788825,20.22842765,0.027601296,1.390756555,2.332543249,1.867650775,-22.84145647,-57.34058827,-59.41658546,-65.41722664,0.795778426,0.340899779,0.086572299,0.993810732,0.976149889,0.971179266,0.913382997,0.032977633,0.009431603,0.026250196,0.386,0.41,0.77990483,0.484924623,0.515075377,0.941463415,41.19048172,1.086516001,1.509695901,1.473541275,1.257054702,13.75249234,26.65266042,33.59055467,19.71476617,4.059837863,2.585255339,1.730030509,-33.85577224,-42.26951834,NA,NA,NA,NA,NA,NA,63.7
390,0.938,0.266,112.7819549,44.64285714,0.468502309,112.2,68.4,1.75406,1.06932,-0.144238,-0.203131,0.0946373,0.245746,0.247594,29.8452,45.9648,43.8,0.029048206,0.128,0.36,0.545649153,65,181,0.545649153,0.128,0.094,-0.140270781,0.140270781,470,63.82978723,0.13,0.185414985,0.192013557,0.395899431,0.557232292,-2.271026601,9.838546933,5.707943344,5.851411494,0.871720709,1.232873438,1.745338731,80.59257403,161.1831967,322.3565305,23.33696055,17.55048684,0.026430845,1.694021388,2.323648885,1.45557621,-24.97675648,-58.67918918,-60.79739235,-66.78103854,0.717917247,0.357387232,0.087765468,0.994250154,0.97720919,0.972539509,0.906064773,0.023726727,0.006311309,0.02225567,0.366,0.572,0.707161042,0.390191898,0.609808102,0.63986014,50.78868448,1.012049942,1.443867289,1.663548172,0.743189166,18.21390056,35.96581185,55.66521224,16.26641147,6.60379243,2.443408307,1.982023656,-30.52233065,-37.23465647,NA,NA,NA,NA,NA,NA,58.1
409,1.026,0.344,87.20930233,43.98826979,0.430726923,86.4,46.2,1.47744,0.79002,-0.155232,0.126043,0.192652,0.1914,0.23984,29.7216,31.5084,40.2,0.023812463,0.2,0.344,0.430726923,101,173,0.430726923,0.2,0,0.478840557,0.478840557,514,58.36575875,0.202,0.256948387,0.083450112,1.277284137,0.291412192,-1.055923247,6.40647361,4.178295462,4.18924387,0.971718377,1.374164381,1.943137574,135.1159624,270.2222642,540.3942913,44.9670719,22.66908825,0.019635662,1.01521766,2.055525373,1.668759793,-25.06030729,-59.35571949,-61.36534683,-67.28906915,0.757779123,0.396589354,0.05704416,0.996601567,0.986405077,0.983516684,0.942874556,0.020041711,0.006894349,0.020562795,0.444,0.582,0.366700311,0.432748538,0.567251462,0.762886598,46.16623964,0.467018719,0.650590328,0.670842277,0.625022087,3.555705417,6.783421214,9.260331872,4.306510556,1.13921285,0.639444722,1.650728469,-34.33024737,-42.93707305,NA,NA,NA,NA,NA,NA,48.9
421,1.078,0.288,104.1666667,37.97468354,0.549310637,94.8,58.8,1.70324,1.05644,-0.0531702,-0.14426,0.236476,0.205837,0.295194,27.3024,46.452,36,0.046301725,0.104,0.318,0.657214352,53,160,0.657214352,0.104,0.03,-0.264804763,0.264804763,540,55.55555556,0.106,0.209663222,0.216615628,0.66852857,0.567961955,-2.782886907,10.31839131,5.068790992,4.683125081,0.963416293,1.362621741,1.927525938,121.1476822,242.2791448,484.4586557,31.05960941,29.62621353,0.026079934,1.489973069,1.709939536,1.202495563,-24.4947127,-60.85234569,-63.18904431,-69.27618003,0.717364105,0.477585096,0.08852869,0.994421895,0.97867174,0.97416324,0.924512974,0.033722328,0.00971203,0.036352669,0.388,0.69,0.513780115,0.359925788,0.640074212,0.562318841,70.79321403,0.510215268,0.737655076,0.950644645,0.277244427,4.001592999,7.66201439,13.57089007,1.753138712,1.772671578,0.623838765,2.630924122,-23.01126169,-29.79599047,22,175,72,23.51,108,66,58.6
432,0.92,0.3,100,48.38709677,0.58426131,92.4,75,1.4168,1.15,-0.0464593,-0.228386,0.108505,0.22743,0.310268,27.72,46.5,17.4,0.059430108,0.074,0.338,0.604627954,38,170,0.604627954,0.074,0.038,-0.068846878,0.068846878,461,65.07592191,0.076,0.242039212,0.233585089,0.407508871,0.41567153,-3.157530253,15.43950189,7.151436936,7.132704874,0.854567712,1.208099981,1.707341663,118.9191081,237.8347668,475.6174288,33.06793274,26.78333113,0.029681696,1.107206883,1.949271958,1.820378137,-24.56238931,-59.03378773,-61.21534679,-67.12878709,0.836564815,0.426985594,0.068544249,0.993007751,0.973708597,0.968086464,0.913669768,0.042582951,0.012774885,0.039176315,0.4,0.52,0.90941258,0.434782609,0.565217391,0.769230769,83.45162195,0.646537611,1.055949429,1.241200756,1.357909213,11.28797147,21.61773539,24.92362505,18.31184572,3.101732125,2.303104472,2.118104148,-20.81444754,-26.88750232,39,177,93,29.68,134,89,71.1
455,0.718,0.254,118.1102362,64.65517241,0.568947829,117,103.2,1.4001,1.23496,-0.155204,-0.24686,-0.132501,0.302395,0.33678,29.718,47.8848,13.8,0.039723225,0.098,0.316,0.654247912,50,159,0.654247912,0.098,0.062,-0.072081591,0.072081591,360,83.33333333,0.1,0.194911858,0.188234491,-0.472081591,0.64237845,-2.109274523,10.43168061,6.841198628,7.017255925,0.754835218,1.067613841,1.509690573,78.09192413,156.1781213,312.3328105,19.01382297,20.03418152,0.031194209,1.892509203,2.318954693,2.341257973,-22.02580112,-56.73754047,-58.86122238,-64.84525082,0.684309854,0.348300264,0.122031654,0.99233796,0.970527985,0.964480051,0.887579835,0.031490629,0.00799862,0.022610271,0.354,0.364,1.120636005,0.493036212,0.506963788,0.972527473,53.75877422,0.599847019,0.863699764,0.95253374,0.908542351,9.349321527,17.87902498,17.93862768,17.81942228,2.177139255,3.289639175,1.369982478,-30.3485273,-37.1547905,NA,NA,NA,NA,NA,NA,43.6
462,0.788,0.28,107.1428571,59.05511811,0.584521563,106.8,73.8,1.40264,0.96924,-0.220307,-0.196691,0.142019,0.278055,0.311114,29.904,37.4904,33,0.02626542,0.184,0.324,0.607102304,93,163,0.607102304,0.184,0.044,0.697095741,0.697095741,395,75.94936709,0.186,0.208409332,0.035345671,0.651526121,0.497917452,-1.598858703,8.31815483,6.407238564,6.69927788,0.76796341,1.086134411,1.538311721,80.65055312,161.3007461,322.5970039,22.59943536,18.24900957,0.025660047,1.620796534,2.371859629,2.300239012,-22.45921808,-56.88375536,-59.09134474,-64.98496294,0.728207949,0.333613195,0.108362794,0.994540557,0.978456322,0.973985181,0.910898899,0.02242734,0.006279655,0.017672744,0.38,0.408,0.84431302,0.482233503,0.517766497,0.931372549,57.78024581,1.160743411,1.73190707,1.635865978,1.550569248,20.52595245,40.36667153,41.44187575,39.2914673,5.161207741,4.903536062,1.638553521,-23.48649966,-37.4271258,NA,NA,NA,NA,NA,NA,25.1
485,1.236,0.32,93.75,32.7510917,0.781773467,91.2,42.6,1.87872,0.87756,-0.247212,-0.0437164,0.310226,0.395649,0.435306,29.184,39.0216,48.6,0.040261307,0.262,0.342,0.806292138,132,172,0.806292138,0.262,0.022,0.102577685,0.102577685,619,48.46526656,0.264,0.264440056,0.246141229,1.37624489,0.278799961,-3.000169961,5.040408235,4.41276705,3.763427354,0.714693688,1.0110685,1.431599059,130.5255163,261.0509796,522.0968157,26.65616578,39.35163805,0.022049846,1.787081579,1.677245205,1.149310719,-24.61620913,-58.93359615,-60.9828493,-66.85141463,0.649166282,0.483929035,0.073513383,0.995833048,0.983717831,0.980230747,0.938386412,0.030831052,0.009865937,0.038107181,0.42,0.816,0.978245458,0.339805825,0.660194175,0.514705882,58.48798456,1.080831306,1.558853699,2.063709442,1.167338272,26.48434458,52.84439637,86.10230734,19.5864854,10.24638267,3.008462387,1.392444144,-26.42722377,-34.45308382,NA,NA,NA,NA,NA,NA,61.5
492,0.96,0.294,102.0408163,45.04504505,0.527797639,96,68.4,1.536,1.0944,-0.0827672,-0.200929,0.149995,0.223145,0.253592,28.224,45.5544,27.6,0.038758862,0.108,0.338,0.567197224,55,170,0.567197224,0.108,0.044,-0.167716157,0.167716157,481,62.37006237,0.11,0.225962197,0.232350883,0.438520849,0.361412985,-2.544260555,8.022168037,6.437533739,5.896649509,0.893735382,1.264004504,1.787584982,113.2184855,226.4368201,452.8629541,31.84899538,24.90427902,0.023958961,1.200512237,1.920225034,1.77232855,-25.49303671,-58.8588505,-61.04146994,-66.95866249,0.809529192,0.431530384,0.060654649,0.995171853,0.981028117,0.97705252,0.926963528,0.030102596,0.008850163,0.028898492,0.394,0.566,0.749970926,0.410416667,0.589583333,0.696113074,43.56357608,0.884454832,1.230018237,1.49738397,0.947583578,15.39781153,30.69677711,47.75613652,13.63741771,5.68566842,1.993735978,1.214066346,-40.77486058,-45.59384923,33,183,73,21.8,105,71,59.5
494,0.782,0.258,116.2790698,57.2519084,0.54036572,113.4,91.2,1.47798,1.18864,-0.102674,-0.223155,-0.0202412,0.272957,0.284201,29.2572,47.7888,22.2,0.041732233,0.098,0.258,0.54036572,50,130,0.54036572,0.098,0,-0.11902941,0.11902941,392,76.53061224,0.1,0.198013651,0.202464199,-0.192498798,0.379586664,-3.208018011,15.53836655,6.820474345,7.695807277,0.804013186,1.136813252,1.605894549,77.68653242,155.3433309,310.548905,21.90344204,16.92248089,0.030476614,1.469840429,2.181822875,1.939208664,-24.69693303,-57.85566323,-60.07464136,-65.94004092,0.760033511,0.371412458,0.09310121,0.992648517,0.971902888,0.965983438,0.898412022,0.033980758,0.008767035,0.026572952,0.358,0.424,0.718044996,0.457800512,0.542199488,0.844339623,42.69657136,0.895571594,1.252015242,1.493650377,0.873039802,13.50522487,26.84222,37.83846878,15.84597123,4.585966543,2.111097791,1.208854685,-36.67570408,-42.51455733,NA,NA,NA,NA,NA,NA,60.7
499,0.94,0.28,107.1428571,45.45454545,0.477235175,104.4,76.2,1.6356,1.1938,-0.0743621,-0.220122,0.00187687,0.229045,0.296844,29.232,50.292,28.2,0.055906061,0.064,0.32,0.589779683,33,161,0.589779683,0.064,0.04,-0.006611316,0.006611316,471,63.69426752,0.066,0.212011526,0.188841908,0.536063843,0.700241108,-3.213679474,15.15338171,7.294839979,6.864065939,0.86958428,1.229220515,1.731527223,98.51047654,197.0202234,394.0266795,27.78292007,22.09111961,0.032496182,1.574268806,2.214991164,1.781177359,-20.72477604,-57.33702533,-59.54121581,-65.53244312,0.711786754,0.398491193,0.077247241,0.991791155,0.968716106,0.962354398,0.889973455,0.040202881,0.011256807,0.037790709,0.38,0.56,0.591656868,0.404255319,0.595744681,0.678571429,44.44629821,0.66314499,0.959713441,1.259438019,0.674406982,12.71924579,25.33844929,42.1987516,8.478146987,5.140681133,1.227058975,1.436990267,-31.90346228,-40.22669393,NA,NA,NA,NA,NA,NA,54
505,1.35,0.358,83.79888268,30.24193548,0.680260636,84,30,1.89,0.675,-0.290439,0.288474,0.178982,0.367142,0.391019,30.072,29.76,54,0.029222438,0.258,0.382,0.731903473,130,192,0.731903473,0.258,0.024,0.237965133,0.237965133,676,44.37869822,0.26,0.272170936,0.18405582,1.707787618,0.260964346,-2.168002746,6.003943984,4.975751114,3.996990332,0.866410215,1.225351156,1.733359804,138.2413778,276.4818663,552.9536093,35.83712891,33.82038664,0.017329188,1.414629317,1.602164228,1.237674746,-26.98390933,-60.77384865,-62.95032064,-68.99533595,0.696240778,0.482561748,0.059761735,0.997284253,0.989199722,0.986868577,0.956721633,0.022303866,0.007984784,0.030110219,0.458,0.892,0.590782027,0.339259259,0.660740741,0.513452915,58.92429311,0.815676131,1.180589636,1.419594959,0.73302246,10.795451,21.51276444,35.38297531,7.642553567,4.261976228,1.307828746,1.615869452,-33.18448617,-39.56856564,NA,NA,NA,NA,NA,NA,42
513,0.87,0.262,114.5038168,49.34210526,0.558706158,109.2,68.4,1.5834,0.9918,-0.142275,-0.130837,0.225467,0.283097,0.303492,28.6104,41.5872,40.8,0.042670816,0.104,0.288,0.622003364,53,145,0.622003364,0.104,0.026,-0.026601242,0.026601242,436,68.80733945,0.106,0.209899078,0.196503086,0.270646464,0.446415759,-1.841795014,13.4129885,7.433237611,7.392100839,0.823140563,1.163912268,1.644794245,99.61509635,199.2236999,398.4045116,27.70051416,22.47794371,0.028014806,1.24081412,2.114700196,1.752040818,-22.70061502,-58.47564046,-60.73567322,-66.6214804,0.827940544,0.399723671,0.079198729,0.993662162,0.975552639,0.970497478,0.909912717,0.032963438,0.008636421,0.028678191,0.362,0.508,0.480443483,0.416091954,0.583908046,0.712598425,54.10180527,0.652104514,0.907113131,1.013781869,0.513873595,7.038010872,13.93761103,22.74528262,5.129939442,2.811324373,0.805451641,2.507500306,-35.10299734,-42.32934413,NA,NA,NA,NA,NA,NA,53.9
527,0.736,0.276,108.6956522,65.2173913,0.603301795,95.4,105,1.17024,1.288,-0.00852989,-0.306525,-0.0833884,0.291022,0.329822,26.3304,48.3,-9.6,0.054609892,0.196,0.308,0.683892981,99,155,0.683892981,0.196,0.032,0.0622143,0.0622143,369,81.30081301,0.198,0.228812843,0.188164071,-0.240224725,0.473106171,-2.403246788,15.84580277,8.959778067,11.28155376,0.717706582,1.015099499,1.436653987,97.80773504,195.5059302,390.5044418,24.85748308,23.97245265,0.032318494,1.486064723,2.227320484,1.928614483,-22.87013103,-58.79214806,-61.20364578,-66.9966371,0.755941345,0.361814199,0.089392542,0.991837949,0.968780996,0.962454395,0.891796198,0.039232983,0.010828303,0.028875475,0.376,0.36,0.947044732,0.510869565,0.489130435,1.044444444,33.39839379,1.328037512,1.83697246,1.955107563,1.408760974,31.06207596,61.86351267,87.20297448,36.52405086,10.53688875,4.897056357,1.204094922,-46.12993217,-53.70217977,NA,NA,NA,NA,NA,NA,59.4
553,0.806,0.298,100.6711409,59.05511811,0.682572292,96.6,76.8,1.29766,1.03168,-0.170608,-0.208417,0.170396,0.30444,0.354384,28.7868,39.0144,19.8,0.039312539,0.2,0.298,0.682572292,101,150,0.682572292,0.2,0,0.024052688,0.024052688,404,74.25742574,0.202,0.247865633,0.209664555,0.059696252,0.299086752,-2.228567116,9.436696277,6.603208686,7.128583063,0.747307708,1.056631577,1.49493976,104.1634247,208.3263067,416.6424399,28.55065779,24.24982445,0.025380342,1.279138478,2.059701705,1.857868469,-26.20030451,-57.88165336,-59.96361517,-65.90815953,0.815650791,0.392167421,0.078334606,0.994667535,0.979406276,0.974990558,0.922933944,0.030567005,0.009108967,0.024637006,0.398,0.408,1.00951926,0.493796526,0.506203474,0.975490196,53.4481457,1.413037392,1.992839994,2.442552097,0.954630805,33.00837675,65.75958154,111.1130957,20.40606737,13.30900065,3.21138091,1.677058873,-31.73007223,-37.70035627,35,160,52,20.31,103,70,69.3
557,1.046,0.312,96.15384615,40.8719346,0.734992041,90.6,49.2,1.57946,0.85772,-0.207714,0.0557621,0.31125,0.423303,0.42339,28.2672,36.1128,41.4,0.03970854,0.232,0.366,0.776555455,117,184,0.776555455,0.232,0.054,0.156375606,0.156375606,524,57.2519084,0.234,0.251458084,0.201782303,1.008284003,0.352714748,-2.974570511,7.638187323,4.655975573,4.930180468,0.737371875,1.042721732,1.473727181,102.2317354,204.4552175,408.8692652,24.25999592,27.42093034,0.02469506,1.047857373,1.83823296,1.401132863,-25.33194878,-58.27307358,-60.12271854,-66.31275241,0.830450455,0.452194604,0.069587216,0.994919744,0.980289106,0.976112835,0.926494366,0.03133868,0.009777668,0.032780259,0.412,0.634,0.991806408,0.393881453,0.606118547,0.649842271,47.09271161,1.382359867,1.914808547,1.866145694,1.766185677,27.46889096,54.4438324,69.57461299,39.3130518,8.40069597,5.140559679,1.238643786,-23.84942767,-39.67986506,NA,NA,NA,NA,NA,NA,64.3
592,1.184,0.336,89.28571429,35.37735849,0.743555076,91.8,33,1.81152,0.6512,-0.351763,0.354318,0.179079,0.412254,0.437776,30.8448,27.984,58.8,0.028450826,0.242,0.36,0.782591459,122,181,0.782591459,0.242,0.024,0.44607007,0.44607007,593,50.59021922,0.244,0.2515021,0.116724695,1.617739547,0.226271409,-2.199801024,4.861631782,4.457472951,3.538943999,0.852405974,1.205324721,1.704003376,130.5395162,261.078964,522.1546629,32.12233352,33.40988047,0.017378429,1.066594625,1.705127863,1.270437892,-27.7476861,-59.38090723,-61.36982009,-67.42999692,0.797502925,0.469385109,0.059767482,0.997268794,0.989117228,0.986796439,0.956343258,0.021529227,0.00723382,0.025490605,0.436,0.748,0.279538528,0.368243243,0.631756757,0.582887701,49.72583852,0.393948331,0.543572637,0.664332486,0.180484055,2.862233134,5.692387095,10.39132039,0.993453801,1.30870905,0.234306239,2.538101045,-39.25691719,-45.93514628,NA,NA,NA,NA,NA,NA,53.5
594,0.85,0.28,107.1428571,52.63157895,0.673812405,102,70.2,1.445,0.9945,-0.194409,-0.186071,0.244528,0.318311,0.36552,28.56,40.014,31.8,0.039653913,0.202,0.324,0.709694494,102,163,0.709694494,0.202,0.044,0.089694321,0.089694321,426,70.42253521,0.204,0.227497761,0.184576281,0.30941263,0.35134853,-2.261555805,8.414773,6.463001879,6.510458658,0.782074523,1.106141459,1.564873176,107.1555889,214.3101291,428.6110991,26.36736469,27.57634067,0.025669378,1.130149399,2.193320638,1.675596197,-22.63516017,-57.38446887,-59.50196455,-65.35135626,0.855212408,0.377921723,0.087315467,0.994555862,0.978887316,0.974411667,0.920233556,0.032483295,0.009095322,0.0276108,0.38,0.47,0.862477548,0.447058824,0.552941176,0.808510638,42.92299568,1.199875923,1.675681778,1.847492233,1.306014047,24.86104549,49.54969486,67.8470586,31.25233112,8.141020057,4.227082334,1.190885958,-36.8041818,-40.60891288,NA,NA,NA,NA,NA,NA,55.2
610,1.218,0.284,105.6338028,32.11991435,0.731124348,102.6,36.6,2.08278,0.74298,-0.255993,0.208097,0.247057,0.366646,0.380299,29.1384,34.1844,66,0.032715935,0.14,0.284,0.731124348,71,143,0.731124348,0.14,0,-0.008807446,0.008807446,610,49.18032787,0.142,0.226269857,0.202255611,1.230536816,0.276204942,-2.502846349,9.558506871,4.106690091,4.090279064,0.834210746,1.17951184,1.666889714,127.9083016,255.7860928,511.4335713,31.16515656,32.94837586,0.020322411,1.493417885,1.690404149,1.384953219,-26.90979373,-59.50597214,-61.54884186,-67.57899387,0.704706268,0.482532615,0.072433928,0.996389664,0.985656522,0.982596544,0.942668551,0.0253541,0.007200565,0.030881294,0.384,0.834,0.979839517,0.315270936,0.684729064,0.460431655,57.05973982,1.141990912,1.638361272,2.108515102,1.187073658,27.09578652,53.9111191,84.99127108,22.83096712,10.03090691,3.621832348,1.307690727,-32.18019477,-33.60951755,NA,NA,NA,NA,NA,NA,49.8
